"id","name","abbreviation","if","if5","sci","casup","casbase","publisher","issn","eissn","official_url","rss_url"
"1408","Business Ethics Quarterly","Bus. Ethics Q.","3.1","4.3","0","哲学1区",,"Cambridge","1052-150X",,,
"1409","Gastrointestinal Endoscopy","Gastrointest. Endosc.","7.5","7.3","1","医学1区","医学1区","Elsevier","1097-6779","0016-5107",,"https://rss.sciencedirect.com/publication/science/00165107"
"1410","Pain","Pain","5.5","7.3","1","医学1区","医学2区","Wolters Kluwer","1872-6623","0304-3959",,
"1411","Combustion and Flame","Combust. Flame","6.2","6.3","1","工程技术1区","工程技术2区","Elsevier","0010-2180","1556-2921",,"https://rss.sciencedirect.com/publication/science/00102180"
"1412","Advances in Atmospheric Sciences","Adv. Atmos. Sci.","5.5","5.4","1","地球科学1区","地学2区","科学出版社","1861-9533","0256-1530",,
"1413","Journal of Industrial Ecology","J. Ind. Ecol.","5.4","7.1","1","环境科学与生态学3区","环境科学与生态学2区","Wiley","1088-1980","1530-9290",,"https://onlinelibrary.wiley.com/feed/15309290/most-recent"
"1414","Structure","Structure","4.3","4.5","1","生物学2区","生物2区","Elsevier","0969-2126","1878-4186",,"https://rss.sciencedirect.com/publication/science/09692126"
"1415","Review of International Political Economy","Rev. Int. Polit. Econ.","3.5","5.3","0","经济学2区",,"Taylor & Francis","0969-2290","1466-4526","https://www.tandfonline.com/journals/rrip20","https://www.tandfonline.com/feed/rss/rrip20"
"1416","Behaviour Research and Therapy","Behav. Res. Ther.","4.5","5","0","心理学1区",,"Elsevier","0005-7967","1873-622X",,"https://rss.sciencedirect.com/publication/science/00057967"
"1417","Neurobiology of Disease","Neurobiol. Dis.","5.6","5.7","1","医学2区","医学2区","Elsevier","1095-953X","0969-9961",,"https://rss.sciencedirect.com/publication/science/09699961"
"1418","British Medical Bulletin","Br. Med. Bull.","5.4","8.8","1","医学2区","医学3区","Oxford","0007-1420","1471-8391",,
"14441","Geographica Helvetica","Geogr. Helv.",,,"0",,,,"0016-7312","2194-8798",,
"1419","Accident Analysis and Prevention","Accid. Anal. Prev.","6.2","6.9","0","工程技术1区",,"Elsevier","1879-2057","0001-4575",,"https://rss.sciencedirect.com/publication/science/00014575"
"1420","Acta Biomaterialia","Acta Biomater.","9.6","10.3","1","医学1区","工程技术1区",,"1742-7061","1878-7568",,
"1421","Best Practice and Research: Clinical Endocrinology and Metabolism","Best Pract. Res.: Clin. Endocrinol. Metab.","6.1","6.9","1","医学2区","医学3区","Elsevier","1521-690X","1532-1908",,"https://rss.sciencedirect.com/publication/science/1521690X"
"1422","Biosensors and Bioelectronics","Biosens. Bioelectron.","10.5","10.1","1","化学1区","工程技术1区","Elsevier","1873-4235","0956-5663",,"https://rss.sciencedirect.com/publication/science/09565663"
"1423","Depression and Anxiety","Depress. Anxiety","3.3","6.3","1","医学2区","医学2区","Wiley","1091-4269","1520-6394",,
"1424","Carbohydrate Polymers","Carbohydr. Polym.","12.5","11.9","1","化学1区","化学1区","Elsevier","1879-1344","0144-8617",,"https://rss.sciencedirect.com/publication/science/01448617"
"1425","Seismic Record","Seism. Rec.",,,"0",,,,"2694-4006",,,
"1426","Information Systems Frontiers","Inf. Syst. Front.","8.3","7.8","1","管理学3区","工程技术2区","Springer Nature","1572-9419","1387-3326",,
"1427","Journal of Cardiovascular Computed Tomography","J. Cardiovasc. Comput. Tomogr.","5.8","5.1","1","医学2区","医学3区","Elsevier","1876-861X","1934-5925",,"https://rss.sciencedirect.com/publication/science/19345925"
"1428","American Journal of Preventive Cardiology","Am. J. Prev. Cardiol.","5.9","5.6","0","医学2区",,"Elsevier","2666-6677",,,"https://rss.sciencedirect.com/publication/science/26666677"
"1429","Liver International","Liver Int.","5.2","5.6","1","医学2区","医学2区","Wiley","1478-3223","1600-0676",,"https://onlinelibrary.wiley.com/feed/14783231/most-recent"
"1430","Mayo Clinic Proceedings","Mayo Clin. Proc.","6.7","8.1","1","医学2区","医学2区","Elsevier","1942-5546","0025-6196",,"https://rss.sciencedirect.com/publication/science/00256196"
"1431","Energy and AI","Energy AI","9.6","10.3","0","工程技术2区",,"Elsevier","2666-5468",,,"https://rss.sciencedirect.com/publication/science/26665468"
"1432","Information Economics and Policy","Inf. Econ. Policy","3.2","4.1","0","经济学2区",,"Elsevier","0167-6245",,,"https://rss.sciencedirect.com/publication/science/01676245"
"1433","Journal of Computer Assisted Learning","J. Comput. Assist. Learn.","4.6","5.8","0","教育学1区",,"Wiley","1365-2729","1365-2729",,"https://onlinelibrary.wiley.com/feed/13652729/most-recent"
"1434","Journal of International Financial Management and Accounting","J. Int. Financ. Manag. Account.","8.2","6.7","0","管理学1区",,"Wiley","0954-1314","1467-646X",,"https://onlinelibrary.wiley.com/feed/1467646X/most-recent"
"1435","Water Cycle","Water Cycle","8.7","8.1","0","环境科学与生态学4区",,"KeAi","2666-4453",,,
"1436","Landslides","Landslides","7","7.5","1","工程技术2区","地学1区","Springer Nature","1612-5118","1612-510X",,
"1437","BMJ Quality and Safety","BMJ Qual. Saf.","6.7","6.7","1","医学1区","医学2区","BMJ","2044-5423","2044-5415",,
"1438","Journal of Obesity and Metabolic Syndrome","J. Obes. Metab. Syndr.","7.9","6.9","0","医学4区",,,"2508-6235","2508-7576",,
"1439","Journal of Translational Medicine","J. Transl. Med.","7.5","7","1","医学2区","医学2区","Springer Nature","1479-5876",,,
"1440","Advanced Optical Materials","Adv. Opt. Mater.","7.2","8.2","1","材料科学2区","工程技术1区","Wiley","2195-1071","2195-1071",,"https://onlinelibrary.wiley.com/feed/21951071/most-recent"
"1441","Journals of Gerontology - Series B Psychological Sciences and Social Sciences","J. Gerontol. - B Psychol. Sci. Soc. Sci.","3.2","4.5","1","医学2区","医学3区",,"1079-5014","1758-5368",,
"1442","Journal of Environmental Management","J. Environ. Manag.","8.4","8.6","1","环境科学与生态学2区","环境科学与生态学2区","Elsevier","1095-8630","0301-4797",,"https://rss.sciencedirect.com/publication/science/03014797"
"1443","Photonics Research","Photonics Res.","7.2","7.2","1","物理与天体物理1区","物理1区",,"2327-9125",,,
"1444","Advanced Engineering Informatics","Adv. Eng. Inform.","9.9","10","1","工程技术1区","工程技术2区","Elsevier","1474-0346",,,"https://rss.sciencedirect.com/publication/science/14740346"
"1445","Age and Ageing","Age Ageing","7.1","8.8","1","医学2区","医学2区","Oxford","0002-0729","1468-2834",,
"1446","ACS Photonics","ACS Photonics","6.7","6.9","1","物理与天体物理1区","工程技术2区","American Chemical Society","2330-4022",,,"https://pubs.acs.org/action/showFeed?type=axatoc&feed=rss&jc=apchd5"
"1447","Journal of General Internal Medicine","J. Gen. Intern. Med.","4.2","5.4","1","医学2区","医学2区","Springer Nature","1525-1497","0884-8734",,
"1448","Journal of Medical Internet Research","J. Med. Internet Res.","6","6.9","1","医学2区","医学2区",,"1439-4456","1438-8871",,
"1449","Mathematical Models and Methods in Applied Sciences","Math. Models Methods Appl. Sci.","3","3.1","1","数学1区","数学1区",,"0218-2025","1793-6314",,
"1450","Group Processes and Intergroup Relations","Group Process. Intergr. Relat.","2.3","3.8","0","心理学2区",,"SAGE","1461-7188","1368-4302",,
"1451","European Psychiatry","Eur. Psychiatry","6.7","6.9","1","医学2区","医学2区","Cambridge","0924-9338","1778-3585",,
"1452","Journal of Financial Econometrics","J. Financ. Econom.","2.2","2.9","0","经济学3区",,"Oxford","1479-8409",,,
"1453","Journal of Bioresources and Bioproducts","J. Bioresour. Bioprod.","13",,"1","农林科学1区",,"KeAi","2369-9698",,,
"1454","PLoS Pathogens","PLoS Pathog.","4.9","5.4","1","医学1区","生物2区",,"1553-7374","1553-7366",,
"1455","Cell Death Discovery","Cell Death Discov.","7","7.1","1","生物学2区","医学2区","Springer Nature","2058-7716",,"https://www.nature.com/cddiscovery/research-articles","https://www.nature.com/cddiscovery.rss"
"1456","Emotion","Emotion","3.6","4.9","0","心理学2区",,"APA","1931-1516","1528-3542",,
"1457","Hepatology International","Hepatol. Int.","6.1","6.5","1","医学1区","医学2区","Springer Nature","1936-0533","1936-0541",,
"1459","Journal of Metamorphic Geology","J. Metamorph. Geol.","3.4","4","1","地球科学2区","地学2区","Wiley","1525-1314","1525-1314",,"https://onlinelibrary.wiley.com/feed/15251314/most-recent"
"1460","Ophthalmology Retina","Ophthalmol. Retina","5.7","5","0","医学2区",,"Elsevier","2468-6530",,,"https://rss.sciencedirect.com/publication/science/24686530"
"1461","Systematic Entomology","Syst. Entomol.","4.9","4.6","1","农林科学1区","农林科学2区","Wiley","1365-3113","1365-3113",,"https://onlinelibrary.wiley.com/feed/13653113/most-recent"
"1462","Urban Studies","Urban Stud.","4.1","5.2","0","经济学1区",,"SAGE","0042-0980","1360-063X",,
"1463","Bulletin of the American Meteorological Society","Bull. Am. Meteorol. Soc.","5.9","7.6","1","地球科学2区","地学1区",,"1520-0477","0003-0007",,
"1464","Journal of Big Data","J. Big Data","6.4","13.4","1","计算机科学2区",,"Springer Nature","2196-1115",,,
"1465","Mind","Mind","1.6","2.4","0","哲学1区",,"Oxford","0026-4423","1460-2113",,
"1466","Proceedings - IEEE Symposium on Security and Privacy","Proc. - IEEE Symp. Secur. Priv.",,,"0",,,"IEEE","1081-6011",,,
"1467","Interactive Learning Environments","Interact. Learn. Environ.","5.3","6.2","0","教育学3区",,"Taylor & Francis","1049-4820",,"https://www.tandfonline.com/journals/nile20","https://www.tandfonline.com/feed/rss/nile20"
"1468","SIAM Journal on Mathematical Analysis","SIAM J. Math. Anal.","1.9","2.1","1","数学1区","数学3区",,"0036-1410","1095-7154",,
"1469","JMIR Medical Education","JMIR Med. Educ.","12.6",,"0","教育学3区",,,"2369-3762",,,
"1470","Materials Today Bio","Mater. Today Bio","10.2","10.2","1","医学1区","工程技术1区","Elsevier","2590-0064",,,"https://rss.sciencedirect.com/publication/science/25900064"
"1471","Cladistics","Cladistics","6.2","4.7","1","生物学1区","生物2区","Wiley","1096-0031","1096-0031",,"https://onlinelibrary.wiley.com/feed/10960031/most-recent"
"1472","Politics and Society","Polit. Soc.","2.7","3.9","0","社会学1区",,"SAGE","0032-3292","1552-7514",,
"1473","Antipode","Antipode","2.7","4.7","0","社会学1区",,"Wiley","0066-4812","1467-8330",,"https://onlinelibrary.wiley.com/feed/14678330/most-recent"
"1474","Journal of Network and Computer Applications","J. Netw. Comput. Appl.","8","7.9","1","计算机科学2区","工程技术2区","Elsevier","1095-8592","1084-8045",,"https://rss.sciencedirect.com/publication/science/10848045"
"1475","Psychonomic Bulletin and Review","Psychon. Bull. Rev.","3","4.2","0","心理学2区",,"Springer Nature","1069-9384","1531-5320",,
"1476","Cell and Bioscience","Cell Biosci.","6.2","7.2","1","生物学2区","生物2区","Springer Nature","2045-3701",,,
"1477","Journal of Materiomics","J. Mater.","9.6","9.5","1","材料科学2区","工程技术2区",,"2352-8478","2352-8486",,
"1478","Droplet","Droplet","9.1","9.1","0",,,"Wiley","2769-2159","2731-4375",,"https://onlinelibrary.wiley.com/feed/27314375/most-recent"
"1479","Journal of Cerebral Blood Flow and Metabolism","J. Cereb. Blood Flow Metab.","4.5","6.3","1","医学2区","医学2区","SAGE","0271-678X","1559-7016",,
"1480","Journal of Hazardous Materials Letters","J. Hazard. Mater. Lett.","8.1","7.5","0","环境科学与生态学3区",,"Elsevier","2666-9110",,,"https://rss.sciencedirect.com/publication/science/26669110"
"1481","Journal of Occupational and Organizational Psychology","J. Occup. Organ. Psychol.","3.5","6","0","管理学2区",,"Wiley","2044-8325","2044-8325",,"https://onlinelibrary.wiley.com/feed/20448325/most-recent"
"1482","Astronomy and Astrophysics","Astron. Astrophys.","6.1","6.2","1","物理与天体物理2区","地学天文2区",,"0004-6361","1432-0746",,
"1483","Foundations and Trends in Computer Graphics and Vision","Found. Trends Comput. Graph. Vis.","9.3","12.2","0","计算机科学2区",,,"1572-2740",,,
"1484","Progress in Photovoltaics: Research and Applications","Prog. Photovolt.: Res. Appl.",,,"0",,,"Wiley","1062-7995","1099-159X",,"https://onlinelibrary.wiley.com/feed/1099159X/most-recent"
"1485","Geoscientific Model Development","Geosci. Model Dev.","4.9","6.6","1","地球科学2区","地学1区",,"1991-959X","1991-9603",,
"1486","International Journal of Computer-Supported Collaborative Learning","Int. J. Comput.-Support. Collab. Learn.","5.7","5.7","0","教育学1区",,"Springer Nature","1556-1607","1556-1615",,
"1487","Obstetrics and Gynecology","Obstet. Gynecol.","4.7","6.3","1","医学2区","医学2区","Wolters Kluwer","0029-7844","1873-233X",,
"1488","Political Studies","Polit. Stud.","2.8","3.9","0","社会学2区",,"SAGE","0032-3217","1467-9248",,
"1489","Progress in Nuclear Magnetic Resonance Spectroscopy","Prog. Nucl. Magn. Reson. Spectrosc.","8.2","7.7","1","物理与天体物理2区","化学2区","Elsevier","0079-6565","1873-3301",,"https://rss.sciencedirect.com/publication/science/00796565"
"1490","Sociology of Education","Sociol. Educ.","2.8","5.4","0","教育学1区",,"SAGE","0038-0407","1939-8573",,
"1491","Democratization","Democratization","2.9","4.5","0","社会学1区",,"Taylor & Francis","1351-0347","1743-890X","https://www.tandfonline.com/journals/fdem20","https://www.tandfonline.com/feed/rss/fdem20"
"1492","Journal of Neuroscience","J. Neurosci.","4","5","2","医学2区","医学2区",,"0270-6474","1529-2401",,
"1493","Progress in Planning","Prog. Plan.","5.7","5.9","0","经济学1区",,"Elsevier","0305-9006",,,"https://rss.sciencedirect.com/publication/science/03059006"
"1494","Prostate Cancer and Prostatic Diseases","Prostate Cancer Prostatic Dis.","5.8","5.3","1","医学2区","医学2区","Springer Nature","1365-7852","1476-5608","https://www.nature.com/pcan/research-articles","https://www.nature.com/pcan.rss"
"1495","International Journal of Artificial Intelligence in Education","Int. J. Artif. Intell. Educ.","8.5","8.8","0","计算机科学2区",,"Springer Nature","1560-4292","1560-4306",,
"1496","Ecological Indicators","Ecol. Indic.","7.4","7.2","1","环境科学与生态学1区","环境科学与生态学2区","Elsevier","1470-160X",,,"https://rss.sciencedirect.com/publication/science/1470160X"
"1497","Proceedings of the ACM SIGMOD International Conference on Management of Data","Proc. ACM SIGMOD Int. Conf. Manag. Data",,,"0",,,"ACM","0730-8078",,,
"14442","Hasanuddin Law Review","Hasanuddin Law Rev.",,,"0",,,,"2442-9880","2442-9899",,
"1498","Brain Pathology","Brain Pathol.","6.2","6.1","1","医学2区","医学2区","Wiley","1015-6305","1750-3639",,"https://onlinelibrary.wiley.com/feed/17503639/most-recent"
"1499","Journal of Functional Analysis","J. Funct. Anal.","1.6","1.9","1","数学1区","数学3区","Elsevier","1096-0783","0022-1236",,"https://rss.sciencedirect.com/publication/science/00221236"
"1500","Molecular Oncology","Mol. Oncol.","4.5","5.7","2","医学2区","医学2区","Wiley","1574-7891","1878-0261",,"https://onlinelibrary.wiley.com/feed/18780261/most-recent"
"1501","International Small Business Journal","Int. Small Bus. J.",,,"0",,,"SAGE","0266-2426",,,
"1502","Progress in Surface Science","Prog. Surf. Sci.","7.2","8.1","1","工程技术1区","工程技术2区","Elsevier","0079-6816",,,"https://rss.sciencedirect.com/publication/science/00796816"
"1503","Rock Mechanics and Rock Engineering","Rock Mech. Rock Eng.","6.6","7.4","1","工程技术1区","工程技术2区","Springer Nature","0723-2632",,,
"1504","United European Gastroenterology Journal","United Eur. Gastroenterol. J.","6.7","5.8","1","医学2区",,"Wiley","2050-6406","2050-6414",,"https://onlinelibrary.wiley.com/feed/20506414/most-recent"
"1505","Journal of Metaverse","J. Metaverse",,,"0",,,,"2792-0232",,,
"1506","Materials Science and Engineering: A","Mater. Sci. Eng.: A",,,"0","材料科学2区","工程技术2区","Elsevier","0921-5093",,,"https://rss.sciencedirect.com/publication/science/09215093"
"1507","Journal of Pineal Research","J. Pineal Res.","6.3","8.5","1","医学1区","医学1区","Wiley","1600-079X","1600-079X",,"https://onlinelibrary.wiley.com/feed/1600079X/most-recent"
"1508","Spine Journal","Spine J.","4.7","5.1","1","医学1区","医学3区","Elsevier","1529-9430","1878-1632",,"https://rss.sciencedirect.com/publication/science/15299430"
"1509","Mathematical Statistics and Learning","Math. Stat. Learn.",,,"0",,,,"2520-2324","2520-2316",,
"1510","Food Chemistry","Food Chem.","9.8","9.7","1","农林科学1区","工程技术2区","Elsevier","1873-7072","0308-8146",,"https://rss.sciencedirect.com/publication/science/03088146"
"1511","Antioxidants and Redox Signaling","Antioxid. Redox Signal.","6.1","6.8","1","生物学2区","生物2区","SAGE","1523-0864","1557-7716",,
"1512","IEEE Transactions on Control of Network Systems","IEEE Trans. Control Netw. Syst.","5","4.7","1","计算机科学3区","工程技术3区","IEEE","2325-5870",,,
"1513","Journal of Arthroplasty","J. Arthroplasty","3.8","3.9","1","医学2区","医学3区","Elsevier","0883-5403","1532-8406",,"https://rss.sciencedirect.com/publication/science/08835403"
"1514","Knee Surgery, Sports Traumatology, Arthroscopy","Knee Surg. Sports Traumatol. Arthrosc.","5","4.6","1","医学2区","医学3区","Wiley","0942-2056","1433-7347",,"https://onlinelibrary.wiley.com/feed/14337347/most-recent"
"1515","npj Clean Water","npj Clean Water","11.4","14.1","1","工程技术2区","工程技术2区","Springer Nature","2059-7037",,"https://www.nature.com/npjcleanwater/research-articles","https://www.nature.com/npjcleanwater.rss"
"1516","Thyroid","Thyroid","6.7","6.2","1","医学1区","医学2区","SAGE","1557-9077","1050-7256",,
"1517","Molecular and Cellular Proteomics","Mol. Cell. Proteom.","5.5","6.2","1","生物学2区","生物2区",,"1535-9476","1535-9484",,
"1518","Socio-Economic Review","Socio-Econ. Rev.","2.6","3.7","0","经济学2区",,"Oxford","1475-1461",,,
"1519","Agriculture, Ecosystems and Environment","Agric. Ecosyst. Environ.","6.4","6.8","1","农林科学1区","农林科学1区","Elsevier","0167-8809",,,"https://rss.sciencedirect.com/publication/science/01678809"
"1520","Anesthesiology","Anesthesiology","9.2","9.1","1","医学1区","医学2区","Wolters Kluwer","1528-1175","0003-3022",,
"1521","Computer Physics Communications","Comput. Phys. Commun.","3.4","7.2","1","物理与天体物理2区","物理2区","Elsevier","0010-4655",,,"https://rss.sciencedirect.com/publication/science/00104655"
"1522","Journal of Knowledge Management","J. Knowl. Manag.","9.5","9.3","0","管理学2区",,"Emerald","1367-3270",,,
"1523","PLoS Genetics","PLoS Genet.","3.7","4.5","2","生物学2区","生物2区",,"1553-7390","1553-7404",,
"1524","Advances in Combinatorics","Adv. Comb.",,,"0",,,,"2517-5599",,,
"1525","Underground Space (new)","Undergr. Space (new)","8.3","7.6","1","工程技术1区","工程技术3区","KeAi","2096-2754","2467-9674",,
"1526","Proceedings of the Nutrition Society","Proc. Nutr. Soc.","4.5","8.3","1","医学2区","医学2区","Cambridge","0029-6651","1475-2719",,
"1527","Frontiers in Immunology","Front. Immunol.","5.9","6.8","1","医学2区","医学2区","Frontiers","1664-3224",,,"https://www.frontiersin.org/journals/immunology/rss"
"1528","IEEE Transactions on Network Science and Engineering","IEEE Trans. Netw. Sci. Eng.","7.9","6.9","1","计算机科学2区","工程技术2区","IEEE","2327-4697",,,
"1529","Journal of Peace Research","J. Peace Res.","3.1","4.4","0","社会学1区",,"SAGE","0022-3433",,,
"1530","Global Environmental Politics","Glob. Environ. Polit.","4","5.4","0","社会学2区",,,"1526-3800",,,
"1531","Cancer Epidemiology Biomarkers and Prevention","Cancer Epidemiol. Biomark. Prev.","3.4","4.2","1","医学2区","医学2区",,"1055-9965","1538-7755",,
"1532","Essays in Biochemistry","Essays Biochem.","5.7",,"1","生物学2区","生物2区",,"0071-1365","1744-1358",,
"1533","Journal of Dynamics, Monitoring and Diagnostics","J. Dyn. Monit. Diagn.",,,"0",,,,"2833-650X","2831-5308",,
"1534","Multiple Sclerosis Journal","Mult. Scler. J.","5","5.2","1","医学2区","医学2区","SAGE","1352-4585","1477-0970",,
"1535","Functional Ecology","Funct. Ecol.","5.1","5.7","1","环境科学与生态学1区","环境科学与生态学2区","Wiley","0269-8463","1365-2435",,"https://onlinelibrary.wiley.com/feed/13652435/most-recent"
"1536","Journal of Membrane Science","J. Membr. Sci.","9","8.8","1","工程技术1区","工程技术1区","Elsevier","1873-3123","0376-7388",,"https://rss.sciencedirect.com/publication/science/03767388"
"1537","Stroke and Vascular Neurology","Stroke Vasc. Neurol.","4.9","5.9","1","医学2区","医学2区","BMJ","2059-8696","2059-8688",,
"1616","PharmacoEconomics","PharmacoEconomics","4.6","5.1","1","医学3区","医学2区",,"1170-7690","1179-2027",,
"1538","European Neuropsychopharmacology","Eur. Neuropsychopharmacol.","6.7","5.6","1","医学2区","医学2区","Elsevier","0924-977X","1873-7862",,"https://rss.sciencedirect.com/publication/science/0924977X"
"1539","Knowledge-Based Systems","Knowl.-Based Syst.","7.6","7.6","1","计算机科学1区","工程技术2区","Elsevier","0950-7051",,,"https://rss.sciencedirect.com/publication/science/09507051"
"1540","Educational and Psychological Measurement","Educ. Psychol. Meas.","2.3","4.3","2","教育学4区","医学4区","SAGE","0013-1644","1552-3888",,
"1541","Journal of Money, Credit and Banking","J. Money Credit Bank.","1.6","2.1","0","经济学4区",,"Wiley","1538-4616","1538-4616",,"https://onlinelibrary.wiley.com/feed/15384616/most-recent"
"1542","Journal of Economic Geography","J. Econ. Geogr.","2.9","4.5","0","经济学2区",,"Oxford","1468-2702","1468-2710",,
"1543","Journal of Thoracic and Cardiovascular Surgery","J. Thorac. Cardiovasc. Surg.","4.4","4.6","1","医学2区","医学2区","Elsevier","0022-5223","1097-685X",,"https://rss.sciencedirect.com/publication/science/00225223"
"1544","Clinical and Experimental Ophthalmology","Clin. Exp. Ophthalmol.","5.6","4.5","1","医学2区","医学3区","Wiley","1442-9071","1442-6404",,"https://onlinelibrary.wiley.com/feed/14429071/most-recent"
"1545","Fluids and Barriers of the CNS","Fluids Barriers CNS","6.2","7.5","1","医学2区","医学2区","Springer Nature","2045-8118",,,
"1546","American Journal of Public Health","Am. J. Public Health","9.6","10.3","1","医学2区","医学2区",,"0090-0036","1541-0048",,
"1547","Proceedings of the Annual ACM-SIAM Symposium on Discrete Algorithms","Proc. Annu. ACM-SIAM Symp. Discrete Algorithms",,,"0",,,,"1557-9468","1071-9040",,
"1548","Heart Rhythm","Heart Rhythm","5.8","5.3","1","医学1区","医学2区","Elsevier","1547-5271","1556-3871",,"https://rss.sciencedirect.com/publication/science/15475271"
"1549","Organic Reactions","Org. React.",,,"0",,,"Wiley","0078-6179",,,
"1550","Science China Life Sciences","Sci. China Life Sci.","9.5","8.1","1","生物学1区","生物1区",,"1674-7305","1869-1889",,
"1551","Wuli Huaxue Xuebao/ Acta Physico - Chimica Sinica","Wuli Huaxue Xuebao/ Acta Phys. - Chim. Sin.",,,"0",,,"Elsevier","1000-6818",,,"https://rss.sciencedirect.com/publication/science/10006818"
"1552","Green Chemistry","Green Chem.","9.2","9.8","1","化学1区","化学1区","Royal Society of Chemistry","1463-9262","1463-9270",,"http://feeds.rsc.org/rss/gc"
"1553","Journal of Clinical Immunology","J. Clin. Immunol.","5.7","5.6","1","医学2区","医学2区","Springer Nature","0271-9142","1573-2592",,
"1554","International Conference on Architectural Support for Programming Languages and Operating Systems - ASPLOS","Int. Conf. Archit. Support Program. Lang. Oper. Syst. - ASPLOS",,,"0",,,,"-",,,
"1555","Circulation: Genomic and Precision Medicine","Circ.: Genom. Precis. Med.","5.5","6.6","1","医学2区","医学2区","Wolters Kluwer","2574-8300",,,
"1556","Device","Device","8","8.1","0",,,"Elsevier","2666-9986",,,"https://rss.sciencedirect.com/publication/science/26669986"
"1557","Educational Technology and Society","Educ. Technol. Soc.","6","6.3","0","教育学2区",,,"1176-3647","1436-4522",,
"1558","British Journal for the Philosophy of Science","Br. J. Philos. Sci.","2.3","2.4","1","哲学1区","社会科学2区","University of Chicago","1464-3537","0007-0882",,
"1559","Sustainable Development","Sustain. Dev.","8.2","9.5","0","环境科学与生态学2区",,"Wiley","1099-1719","1099-1719",,"https://onlinelibrary.wiley.com/feed/10991719/most-recent"
"1560","ACS Applied Materials and Interfaces","ACS Appl. Mater. Interfaces","8.2","8.5","1","材料科学2区","工程技术1区","American Chemical Society","1944-8252","1944-8244",,"https://pubs.acs.org/action/showFeed?type=axatoc&feed=rss&jc=aamick"
"1561","European Journal of Work and Organizational Psychology","Eur. J. Work Organ. Psychol.","3.4","5.7","0","心理学2区",,"Taylor & Francis","1359-432X",,"https://www.tandfonline.com/journals/pewo20","https://www.tandfonline.com/feed/rss/pewo20"
"1562","IEEE Transactions on Automation Science and Engineering","IEEE Trans. Autom. Sci. Eng.","6.4","7","1","计算机科学2区","工程技术2区","IEEE","1545-5955",,,
"1563","International Journal of Stroke","Int. J. Stroke","8.7","6.9","1","医学2区","医学2区","SAGE","1747-4930","1747-4949",,
"1564","Regional Science and Urban Economics","Reg. Sci. Urban Econ.","2.9","3.7","0","经济学2区",,"Elsevier","1879-2308","0166-0462",,"https://rss.sciencedirect.com/publication/science/01660462"
"1565","Hydrology and Earth System Sciences","Hydrol. Earth Syst. Sci.","5.8","6.4","1","地球科学1区","地学1区",,"1027-5606","1607-7938",,
"1566","Studies in Second Language Learning and Teaching","Stud. Second Lang. Learn. Teach.","5.4","4.8","0","文学1区",,,"2083-5205","2084-1965",,
"1567","Skeletal Muscle","Skelet. Muscle","4.4","5.2","2","医学2区","医学2区","Springer Nature","2044-5040",,,
"1568","European Management Journal","Eur. Manag. J.","7.3","7.4","0","管理学2区",,"Elsevier","0263-2373",,,"https://rss.sciencedirect.com/publication/science/02632373"
"1569","Journal of Hydrology","J. Hydrol.","6.3","6.9","1","地球科学1区","地学2区","Elsevier","0022-1694",,,"https://rss.sciencedirect.com/publication/science/00221694"
"1570","Quantum Science and Technology","Quantum Sci. Technol.","5","6.8","1","物理与天体物理2区","物理2区",,"2058-9565",,,
"1571","Ophthalmology Science","Ophthalmol. Sci.","4.6","4.6","0","医学3区",,"Elsevier","2666-9145",,,"https://rss.sciencedirect.com/publication/science/26669145"
"1572","Polyoxometalates","Polyoxometalates",,,"0",,,,"2957-9821","2957-9503",,
"1573","Environmental DNA","Environ. DNA","6.2",,"0",,,"Wiley","2637-4943","2637-4943",,"https://onlinelibrary.wiley.com/feed/26374943/most-recent"
"1574","Green Technologies and Sustainability","Green Technol. Sustain.",,,"0",,,"KeAi","2949-7361",,,
"1575","Regional Studies","Reg. Stud.","4.2","5.1","0","经济学2区",,"Taylor & Francis","1360-0591","0034-3404","https://www.tandfonline.com/journals/cres20","https://www.tandfonline.com/feed/rss/cres20"
"1576","Agricultural and Forest Meteorology","Agric. For. Meteorol.","5.7","6.6","1","农林科学1区","农林科学1区","Elsevier","0168-1923",,,"https://rss.sciencedirect.com/publication/science/01681923"
"1577","Energy Nexus","Energy Nexus","9.5","9.5","0","工程技术2区",,"Elsevier","2772-4271",,,"https://rss.sciencedirect.com/publication/science/27724271"
"1578","Journalism","Journalism","2.7","3.5","0","文学2区",,"SAGE","1464-8849","1741-3001",,
"1579","Psychometrika","Psychometrika","3.1","3.4","1","心理学2区","医学4区","Cambridge","0033-3123","1860-0980",,
"1580","Reviews in Physics","Rev. Phys.",,,"0",,,"Elsevier","2405-4283",,,"https://rss.sciencedirect.com/publication/science/24054283"
"1581","Career Development and Transition for Exceptional Individuals","Career Dev. Transit. Except. Individ.","1.4","3.2","0","教育学3区",,"SAGE","2165-1442","2165-1434",,
"1582","Journal of Transport Geography","J. Transp. Geogr.","6.3","7.1","0","工程技术1区",,"Elsevier","0966-6923",,,"https://rss.sciencedirect.com/publication/science/09666923"
"1583","Virus Evolution","Virus Evol.","4","4.5","1","医学3区","医学2区","Oxford","2057-1577",,,
"1584","International Soil and Water Conservation Research","Int. Soil Water Conserv. Res.","7.3","8.5","1","农林科学1区","环境科学与生态学1区","KeAi","2095-6339","2589-059X",,
